tokenized_and_lemmatized,sentiment
ceasefire national demonstration palestine israel stopping bombardment gaza stop marching ceasefire u street london last demo see saturday ceasefire,Negative
un resolution political posturing compelled domestic politics hamas pure evil organization must neutralized dismantled hostage humanitarian assistance looked stage oicoci must get perspective right,Negative
legendary senator daughter say college remove name refuse curtail hamas sympathizer,Negative
mass surrender hamas terrorist tonight,Negative
written manifest hezbollah hamas want fight zionism iran war even jew usa base thats reason support hamas hezb,Negative
netanya hou biden terrorist war criminal free palestine,Negative
vote canada show justintrudeau melaniejoly believe certain number jewish girl hamas allowed rape death israel forced allow name peace cdn poli,Negative
muslim poorly treated non white christian trump dictatorship folk really need vote future future hamas hill american muslim die hamas must dealt come back stronger,Negative
poland know well dead jew murdered soil shamefully trying explain cowardly voted favor unga resolution calling ceasefire gaza make reference hamas terrorist polandmfa plinun plinisrael,Negative
israeli force degrading hamas battalion shujaiya jabalia palestinian militia continued resist israeli advance khan younis palestinian militia gaza strip conducted seven indirect fire attack israel latest israel hamas war,Negative
u provided israel coordinate humanitarian location israel bomb israel instead used data target location specifically leading death thousand innocent civilian,Negative
zelensky delivering speech yesterday washington dc lobby congress pas war funding say putin buddy hamas two linked together mutual hatred freedom zelensky say,Negative
better name harvard day hamas university har fraud university,Negative
video game simulate hamas terrorist available kid play disgusting approved steam,Negative
trigger warning raw footage hamas jihadist squad invasion killing spree innocent israeli community filmed terrorist neutralized israeli security force,Negative
no really holy fucking condemn hamas,Negative
ba stay netanya hou criminal war zion az gaza,Negative
apparently told ceasefire longer taking place israel refused report bombing across gaza attack people west bank,Negative
ada hiburan strike gaza free palestine idf terrorist army israel ter rist netanya hou criminal war,Negative
breaking news fbi dhs warn growing threat public safety holiday amplified hamas deadly oct terror attack,Negative
think hamas breaking cease fire much point,Negative
free palestine free palestinefromisrael strike gaza genocide israel genocide joe biden war crime israel netanya hou biden terrorist war criminal,Negative
demand surrender terrorist group hamas,Negative
netanya hou criminal war droitsamc droitsenfants,Negative
gutless cover face joke gaza fighting hamas,Negative
hamas terrorist chaos attacking gaza civilian hillary campaign biden staged protest dc,Negative
